game_idx,home,away,win_prob,spread,win_byte,spread_byte
0,KC,DET,0.762074,7.123035,195,7
1,ATL,CAR,0.656750,4.249906,168,4
2,BAL,HOU,0.817765,9.048479,209,9
3,CLE,CIN,0.550788,1.165410,141,1
4,IND,JAX,0.576027,2.363481,147,2
5,MIN,TB,0.631357,4.025164,161,4
6,NO,TEN,0.617549,3.587318,158,3
7,PIT,SF,0.535249,1.230792,137,1
8,WAS,ARI,0.735885,6.285473,188,6
9,CHI,GB,0.498867,0.304807,127,0
10,DEN,LV,0.568951,1.535043,145,1
11,LAC,MIA,0.630814,3.954277,161,3
12,NE,PHI,0.245497,-5.354516,62,-6
13,SEA,LA,0.653757,3.776864,167,3
14,NYG,DAL,0.415692,-2.028638,106,-3
15,NYJ,BUF,0.320105,-3.159846,81,-4
16,PHI,MIN,0.718627,6.210113,183,6
17,ATL,GB,0.577273,2.987335,147,2
18,BUF,LV,0.795029,8.654836,203,8
19,CIN,BAL,0.605652,3.239074,155,3
20,DET,SEA,0.647483,4.266163,165,4
21,HOU,IND,0.469897,-1.429963,120,-2
22,JAX,KC,0.535766,1.024999,137,1
23,TB,CHI,0.702181,4.958016,179,4
24,TEN,LAC,0.517831,0.628538,132,0
25,ARI,NYG,0.383759,-2.794070,98,-3
26,LA,SF,0.267806,-5.598658,68,-6
27,DAL,NYJ,0.835010,10.247515,213,10
28,DEN,WAS,0.624172,3.645794,159,3
29,NE,MIA,0.438900,-2.475330,112,-3
30,CAR,NO,0.450199,-1.859855,115,-2
31,PIT,CLE,0.486317,-0.987694,124,-1
32,SF,NYG,0.814287,9.287459,208,9
33,BAL,IND,0.764015,7.274661,195,7
34,CLE,TEN,0.628409,3.880876,160,3
35,DET,ATL,0.614669,3.604009,157,3
36,GB,NO,0.539299,1.813777,138,1
37,JAX,HOU,0.774734,7.167719,198,7
38,MIA,DEN,0.707850,5.723577,181,5
39,MIN,LAC,0.577821,2.668812,147,2
40,NYJ,NE,0.412249,-3.078639,105,-4
41,WAS,BUF,0.454389,-2.195448,116,-3
42,SEA,CAR,0.737690,6.626653,188,6
43,ARI,DAL,0.183794,-8.775840,47,-9
44,KC,CHI,0.914014,14.112494,233,14
45,LV,PIT,0.599269,3.285754,153,3
46,TB,PHI,0.391652,-3.783492,100,-4
47,CIN,LA,0.616392,3.571063,157,3
48,GB,DET,0.464669,-1.712415,118,-2
49,JAX,ATL,0.638766,4.127050,163,4
