game_idx,win_byte,spread_byte,timeout
0,177,5,0
1,154,2,0
2,193,6,0
3,135,0,0
4,139,1,0
5,150,3,0
6,145,2,0
7,134,0,0
8,172,4,0
9,135,0,0
10,139,0,0
11,147,2,0
12,72,251,0
13,152,2,0
14,112,254,0
15,97,253,0
16,163,4,0
17,135,1,0
18,185,6,0
19,143,2,0
20,150,2,0
21,125,255,0
22,135,0,0
23,166,3,0
24,128,255,0
25,108,254,0
26,79,251,0
27,199,8,0
28,151,2,0
29,119,254,0
30,124,255,0
31,128,255,0
32,191,6,0
33,180,5,0
34,150,2,0
35,142,2,0
36,132,1,0
37,175,4,0
38,168,4,0
39,139,1,0
40,112,253,0
41,124,254,0
42,175,4,0
43,72,249,0
44,220,11,0
45,142,1,0
46,111,253,0
47,141,2,0
48,125,255,0
49,147,2,0
