game_idx,win_prob_fixed,spread_fixed,timeout
0,3189,39751,0
1,2451,12146,0
2,2817,28315,0
3,2572,12216,0
4,1421,16762090,0
5,940,16736617,0
6,1785,16756658,0
7,1864,16766128,0
8,2326,7153,0
9,2279,8269,0
10,2675,21414,0
11,2451,11670,0
12,1539,16762714,0
13,1723,16763303,0
14,3167,37745,0
15,1450,16766500,0
16,2587,12719,0
17,1479,16764870,0
18,2295,4148,0
19,3189,53422,0
20,1392,16760845,0
21,998,16749171,0
22,1509,16761775,0
23,1252,16754150,0
24,1707,16762646,0
25,2527,22069,0
26,2512,16504,0
27,3409,49762,0
28,2358,11171,0
29,2690,28323,0
30,1707,16763556,0
31,3275,44688,0
32,1198,16743305,0
33,3243,32125,0
34,2871,27463,0
35,907,16747517,0
36,940,16740678,0
37,2747,25331,0
38,2279,12802,0
39,2184,8332,0
40,2435,10465,0
41,2420,15254,0
42,3382,38844,0
43,2646,11693,0
44,2024,16774068,0
45,1615,16768341,0
46,2466,14061,0
47,2602,11965,0
48,3167,27004,0
49,1770,16770470,0
50,3533,80126,0
51,2497,9072,0
52,2572,15480,0
53,2120,6290,0
54,1880,16771526,0
55,3325,32022,0
56,1095,16753491,0
57,1083,16745603,0
58,2602,12891,0
59,2104,7079,0
60,2024,3720,0
61,2789,26644,0
62,1349,16753886,0
63,2216,11889,0
64,1801,16766552,0
65,2263,6639,0
66,2389,7724,0
67,1738,16766412,0
68,1212,16745025,0
69,1121,16757817,0
70,3254,37058,0
71,2008,16768209,0
72,3178,40050,0
73,1645,16765158,0
74,2295,8518,0
75,2542,19711,0
76,2661,21602,0
77,3178,27197,0
78,2263,9814,0
79,3074,30400,0
80,1022,16747352,0
81,1554,16763320,0
82,2557,13474,0
83,1992,16765139,0
84,1058,16752685,0
85,1569,16761672,0
86,3167,35813,0
87,1058,16744167,0
88,952,16751275,0
89,2389,13341,0
90,2512,18375,0
91,1754,16763946,0
92,2542,21343,0
93,1212,16754482,0
94,2311,4993,0
95,2963,27356,0
96,3264,37604,0
97,1707,16765886,0
98,3133,24191,0
99,1569,16763151,0
